height_cm,weight_kg
1.617205273873700548e+02,6.961429072431857890e+01
1.531958429535465882e+02,6.522859953054680204e+01
1.800181623297462181e+02,7.792444872810882828e+01
1.653725858333434928e+02,7.444234709598811150e+01
1.665048263717488908e+02,6.652832207869583669e+01
1.605445132405989170e+02,7.145037366558818803e+01
1.624080095923498277e+02,5.586182199039179608e+01
1.643571984545582723e+02,5.908876643519535321e+01
1.633657496291398843e+02,7.606350790338532875e+01
1.577347985967670922e+02,7.345007439040674058e+01
1.663027627217049655e+02,7.539338462800584750e+01
1.654328218235133932e+02,8.100460356960925878e+01
1.611721492801525812e+02,5.548075199962792681e+01
1.569652971552694964e+02,7.149310725202886374e+01
1.558444354366693858e+02,5.730301242830996955e+01
1.549438016798355875e+02,8.855127157154248607e+01
1.639364034101274115e+02,6.932674133632546898e+01
1.595436541659869931e+02,7.260561293281816120e+01
1.680974239520248830e+02,6.179248684918115941e+01
1.557855527487013489e+02,7.408724990375124264e+01
1.670802517214451939e+02,7.836159558628546051e+01
1.621883250333127933e+02,8.080089083460521238e+01
1.580178385850083771e+02,7.052283838958730655e+01
1.693119279963580084e+02,7.722090934154191189e+01
1.630547586026020781e+02,5.897693921662993688e+01
1.675316107438657980e+02,5.864103273169250485e+01
1.696374102757098399e+02,7.603465136080407660e+01
1.654614707649440675e+02,7.074464581792358331e+01
1.585894203540186425e+02,7.713828706436945026e+01
1.633005681694729674e+02,7.284934961355310179e+01
1.690313031867755456e+02,7.057045933638360680e+01
1.576360675050804616e+02,7.277767724547965145e+01
1.658200407741302342e+02,7.474539148482926976e+01
1.606301553477756840e+02,7.031098234806790970e+01
1.586275996759613349e+02,8.292153703777626106e+01
1.580674558924544897e+02,7.194001682475095549e+01
1.544313219011625620e+02,7.075225168849742374e+01
1.601467012798296992e+02,6.990374771363335071e+01
1.646526401241374060e+02,5.890911909036807970e+01
1.481613509645133036e+02,6.652000589514946682e+01
1.592002445078992992e+02,6.772961121752921088e+01
1.634512907041582253e+02,6.681062840695655325e+01
1.592162380387030112e+02,6.419030990603903319e+01
1.671612144852278163e+02,7.121159074569203540e+01
1.563246005399512626e+02,6.358787206501083489e+01
1.668977085864696335e+02,7.322087738313291538e+01
1.675371863863501005e+02,6.478544679621046498e+01
1.646211562186863944e+02,7.828667192464975244e+01
1.567409459844607511e+02,6.906148176040854025e+01
1.741501002355691696e+02,7.323768975852506458e+01
1.601430794509771260e+02,6.765114790597074546e+01
1.654134406405812285e+02,7.237194422667826643e+01
1.550824974835254864e+02,7.548125410780291134e+01
1.569447680188823142e+02,6.346378093042586954e+01
1.645427509245704130e+02,4.986619830733446435e+01
1.521957945765949205e+02,5.169573594041934683e+01
1.649242481173318140e+02,6.752707049671523976e+01
1.739614627223026559e+02,6.680034880653933271e+01
1.519934964718461856e+02,6.860361039629208335e+01
1.598086386886486139e+02,6.926047463011580874e+01
1.676901195876690736e+02,7.441285698256614012e+01
1.593602103597259543e+02,6.022531618207081294e+01
1.675018807748199663e+02,8.928919383205591487e+01
1.629764351836140577e+02,7.454491386113458873e+01
1.501145515241664725e+02,6.721417359186175133e+01
1.437966777742566364e+02,5.929011622449498020e+01
1.599748692563569534e+02,5.046814702303370836e+01
1.680760004136861028e+02,6.196470407787477086e+01
1.558353295770521640e+02,6.658663577826851565e+01
1.702632151198133101e+02,8.083750444565538373e+01
1.506235399330715552e+02,8.018066645784757895e+01
1.661999823512580861e+02,7.021439144003647925e+01
1.603708778309179479e+02,6.949709179585136098e+01
1.608795380678194249e+02,7.761762054312917769e+01
1.592115743698828680e+02,6.090951900149222809e+01
1.570798455313775435e+02,6.503941084584134558e+01
1.610592931663569516e+02,6.921930290930245633e+01
1.539760389538420213e+02,7.051125062123783493e+01
1.680880310958807513e+02,6.135116103474734217e+01
1.535474134924749592e+02,6.013063891846650222e+01
1.658648478311597216e+02,7.112040377376351330e+01
1.543297979193553999e+02,7.473963525252486306e+01
1.524801563976424745e+02,5.592016380836944478e+01
1.661123085416971605e+02,9.087507634257971745e+01
1.642378664048022472e+02,5.380742630101052271e+01
1.622637959479000074e+02,6.479512443451416459e+01
1.741599084750611439e+02,8.856637692725514910e+01
1.565455787515712416e+02,6.964854544346266607e+01
1.683812295694010857e+02,8.069040822599097851e+01
1.641756207665877980e+02,7.275698807033683124e+01
1.738841851147283819e+02,6.831112592160985741e+01
1.544106486797044511e+02,7.009694623904839261e+01
1.593653459932888268e+02,6.293553273020206262e+01
1.582492771364651674e+02,6.889424471692929330e+01
1.557603307741593994e+02,6.856307789952977316e+01
1.513651217877933561e+02,5.624055987956201363e+01
1.602282363001289980e+02,5.126984976506214764e+01
1.598812632285883524e+02,6.596126938629241465e+01
1.554455279091350235e+02,6.159882167685107390e+01
1.601875784327639280e+02,6.863295261879726183e+01
1.498596332949188934e+02,7.101511526117236883e+01
1.716931404904193812e+02,6.261891859796256199e+01
1.653492803432857272e+02,6.469153856446057205e+01
1.632282209200613750e+02,7.244124201080258274e+01
1.668152877706269805e+02,6.811183708084286081e+01
1.594193481011580786e+02,6.974717129631066825e+01
1.572714514380874391e+02,6.005693705381887781e+01
1.579618833363153385e+02,6.723081501152427109e+01
1.565714432141371901e+02,6.874935015355691803e+01
1.586921948216491387e+02,6.050554896044366870e+01
1.691961487250106870e+02,7.533495787937665966e+01
1.584397493264159493e+02,7.918579129177085463e+01
1.715058733069764685e+02,6.653181026822598199e+01
1.647614169103601682e+02,7.419161860713978740e+01
1.750896132047118101e+02,6.140915496817886776e+01
1.582257581724485647e+02,6.738126155524194871e+01
1.568824527155436783e+02,6.574494513412339813e+01
1.575053370935065118e+02,7.056249874051609083e+01
1.467341731888706704e+02,7.108553761186786346e+01
1.670869374590981806e+02,6.657637750652969544e+01
1.650613070568342948e+02,7.146232259175833690e+01
1.627485085373042466e+02,6.244259377977436998e+01
1.625773572229829824e+02,5.872695904649962273e+01
1.684708362302712032e+02,8.529974712246615809e+01
1.556962799580383887e+02,6.355654432961567579e+01
1.643640474838208547e+02,6.591896931735234944e+01
1.644700293801519138e+02,6.611295542842829320e+01
1.674220029415546378e+02,6.835954899205020752e+01
1.722373985710042916e+02,6.448544796956514347e+01
1.652808532905876575e+02,5.394466472112036115e+01
1.565987130460611922e+02,4.418907734022240419e+01
1.657477787311029829e+02,6.876945404638797754e+01
1.602148580838195073e+02,7.732933655159001773e+01
1.625470647895814409e+02,6.272540432656646914e+01
1.549402333257646660e+02,7.410990440233238985e+01
1.600711503285219237e+02,6.859090963352539916e+01
1.616796594645828407e+02,6.317782224989161222e+01
1.600201367772872629e+02,6.352268828870867878e+01
1.655601144851833055e+02,6.557607764278949958e+01
1.748280235655676904e+02,7.890301986337209428e+01
1.618313432735941149e+02,7.269882513988542883e+01
1.558920232860141368e+02,6.117329859794703850e+01
1.600534235417165974e+02,7.424169259542236432e+01
1.699508583803326758e+02,4.751499751892806955e+01
1.626995017906265844e+02,6.228674024613468418e+01
1.690956279459654183e+02,7.354527494023804479e+01
1.635274710175851851e+02,6.383627772620979357e+01
1.690432505025794114e+02,7.013658156636469698e+01
1.592650825425727987e+02,8.694607843356929777e+01
1.712647919535675101e+02,7.208979136531330312e+01
1.638211718420192540e+02,7.425124137198402252e+01
1.663657669893260049e+02,6.435856145396627426e+01
1.719572757831652723e+02,5.797185720652710472e+01
1.469941875831448215e+02,6.548573842612989893e+01
1.719201046477693353e+02,6.475228930633028313e+01
1.790804030683994483e+02,7.241118765814185565e+01
1.607412984788831238e+02,6.593922468011254523e+01
1.584147289001901413e+02,7.246810445883761531e+01
1.609056656346920136e+02,7.034918163583458295e+01
1.669235414987407751e+02,7.331255003332914555e+01
1.614012200068796403e+02,7.120187530484155047e+01
1.536672111905838563e+02,5.778323480153414948e+01
1.550150528986829670e+02,6.511479634195958965e+01
1.502902032791839417e+02,6.604899908633871064e+01
1.569541745574798028e+02,5.999716652723454047e+01
1.551656594021414435e+02,5.759338974253752497e+01
1.501921654390089031e+02,7.163697895770987145e+01
1.640956829066569753e+02,7.543074903168292167e+01
1.608675892792663831e+02,7.335977942876355939e+01
1.653482024815911871e+02,7.016584240507474135e+01
1.468440113017341275e+02,6.435023900783085082e+01
1.677911503362463463e+02,7.348640974406687576e+01
1.721746100245329671e+02,5.804203272249490198e+01
1.581575722092238152e+02,6.744003053275342552e+01
1.513712756058627917e+02,7.663803402923780084e+01
1.472061599817140518e+02,7.186903737966852646e+01
1.677740933285437563e+02,6.875134269031131851e+01
1.604068961843362331e+02,5.516302769080667900e+01
1.639299629917299512e+02,6.747194532418410517e+01
1.598108865459390699e+02,5.509727739318832107e+01
1.493365627339285027e+02,5.600138132064137153e+01
1.572214888163573789e+02,6.126314813183729768e+01
1.604633763154552923e+02,8.606916230777409282e+01
1.549125726783764208e+02,6.628893730200874757e+01
1.628946311695328575e+02,6.172607900080134868e+01
1.557429818417851948e+02,7.512207950838991621e+01
1.673499658495452138e+02,7.772088804772747039e+01
1.469156530388098929e+02,6.736318930796240068e+01
1.639469062014361214e+02,7.201927385819881522e+01
1.610131707643760421e+02,6.483654541962764029e+01
1.673481850383455196e+02,7.062221095846385310e+01
1.704775920351964373e+02,7.108962231211079086e+01
1.653685376481554954e+02,4.937607728060137902e+01
1.630952744438245077e+02,6.575333431560764552e+01
1.570571717134826031e+02,6.841198006942187249e+01
1.688130819200739552e+02,6.446084695322829816e+01
1.619439665903772436e+02,7.409297839951950948e+01
1.642935879926823759e+02,7.123726930211604724e+01
1.609042766451140096e+02,5.900429700106376885e+01
1.628047900416985101e+02,7.930615889222022474e+01
1.570011759851922193e+02,6.129369974685160116e+01
1.796772101745684438e+02,8.462090564169974982e+01
1.631025408309440650e+02,6.018209637902204179e+01
1.590116662942646144e+02,7.923176733360838853e+01
1.588130989960802140e+02,5.858660917082639941e+01
1.643171244540507985e+02,7.551592420480380952e+01
1.587320133510824007e+02,6.107741434197018293e+01
1.671627690612738775e+02,7.689000881051101999e+01
1.622479937979663589e+02,7.317160242305058659e+01
1.639314257641543406e+02,7.560390586591438478e+01
1.697772003271882397e+02,6.791379523446686051e+01
1.642522771773851105e+02,7.475062144677200138e+01
1.648588864487560670e+02,6.403538149815818770e+01
1.658696389536496838e+02,7.358758655951193361e+01
1.716950828985688418e+02,6.460670658082742079e+01
1.613993251107099240e+02,7.069871869520247287e+01
1.705964870361827366e+02,6.785167159803717141e+01
1.672457343528621152e+02,5.442958971458983797e+01
1.654789803949661007e+02,6.681140248582133268e+01
1.535029593109628649e+02,5.630633409280169133e+01
1.633172414244587856e+02,6.691853538302160587e+01
1.523028506911633428e+02,6.293193208298526287e+01
1.578062850616566095e+02,5.959603316536576756e+01
1.600056747326860602e+02,6.220166466542169559e+01
1.584786278313539469e+02,6.016027652507957413e+01
1.525476987892791954e+02,6.411045314389852479e+01
1.683037644458083832e+02,6.215619692744617453e+01
1.603337858370874187e+02,7.558955510787643561e+01
1.712061521331790459e+02,7.257013544856738463e+01
1.618691368767714778e+02,6.336044190556883393e+01
1.491858527753799137e+02,6.898295177610512496e+01
1.717654635507545606e+02,7.410407412647811043e+01
1.685301991179175900e+02,6.906405706002483669e+01
1.735373293624365942e+02,7.904958608410919396e+01
1.595436592480128297e+02,6.750005856430436779e+01
1.472768142572448653e+02,5.295530823628760686e+01
